dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
1.875955247234769863e-01,-6.363413441120000513e-01,1.720629888606330093e-01,8.755548090308199471e-01,1.143780987831759965e+00,3.703531915099950167e-01,5.356663103012360150e-01,4.730868810342960251e-01,1.311249474127579973e+00,-1.349276408754507273e+00,3.189056270435614709e-02,-1.411781911655045407e+00,-1.286770905853969138e+00
3.140256653863179870e-01,-5.341031306916640409e-01,1.376503910885060078e+00,-9.311065740058249718e-01,1.171518900518119910e+00,1.726519569616749905e+00,1.785554367670789955e-01,9.908976476588240434e-01,1.848058493001399905e+00,-1.478408082466030615e+00,9.424221644810566734e-02,-1.663122826704317658e+00,-1.293693338227743572e+00
1.064839952003610035e-01,-5.623511937273579786e-01,5.161889665818989448e-01,6.174603257398709744e-01,5.928298985908799779e-01,3.102543806895429745e-01,4.166293524565180262e-02,1.427593230152029991e-01,1.398363486715320070e+00,-1.345875507841147956e+00,3.458826544033037631e-02,-1.413668508104195531e+00,-1.278082507578100380e+00
4.041100058054379884e-01,-2.978075310717340218e-01,8.603149443031650190e-01,2.733343480186050112e-01,7.603451359908719454e-01,-6.654674891013180327e-01,9.403919669732779818e-01,3.064351400516899804e-01,1.264131165828420000e+00,-1.153391359147744932e+00,3.679623381155022743e-02,-1.225511977418383358e+00,-1.081270740877106507e+00
3.215472679756590235e-01,-6.658998499438509855e-01,4.731732193667410047e-01,6.389681993474499722e-01,1.066006056181759976e-01,-4.598743910589390277e-02,4.880515271633469876e-01,3.600017710818140260e-01,3.299388438374660226e-01,-1.317194729934344721e+00,3.464170589566285124e-02,-1.385092473489843989e+00,-1.249296986378845453e+00
8.921138640600770331e-02,-6.458277785674160221e-01,5.161889665818989448e-01,1.442871063731299974e-01,1.316191150999929949e-01,5.876335075531660124e-01,7.261254428527840199e-01,8.361496024606900335e-01,1.885734158227559965e+00,-1.402105850324099290e+00,5.029786668637854785e-02,-1.500689669029401152e+00,-1.303522031618797428e+00
5.899672785485919890e-01,-3.907361674433110221e-01,9.463464387334810102e-01,3.163500952337630068e-01,8.033117066226870273e-01,1.163609322054619949e-01,6.427995723614809975e-01,1.576389427457919878e-01,5.860363020650339871e-01,-1.039860883854150320e+00,2.457206147689212569e-02,-1.088022124348858810e+00,-9.916996433594417182e-01
2.511200282624349855e-02,-7.872632804729350342e-01,1.720629888606330093e-01,7.895233146005029568e-01,1.126376807322670093e+00,-1.811417783717959862e-01,3.928219608875719859e-01,8.659088419218690102e-01,1.034901154045289928e+00,-1.360437609091176725e+00,3.266412210543560152e-02,-1.424459288417830427e+00,-1.296415929764523023e+00
7.721652946567509890e-01,1.832822242559249970e+00,1.075393680378960104e+00,-2.243086864068149833e+00,6.020758694863339588e-01,-1.613723386526269898e+00,1.368925015214270124e-01,-1.767783850392540046e+00,1.268800080832400035e+00,-1.580294194428943255e+00,1.594291337459378954e-01,-1.892775296570981425e+00,-1.267813092286905086e+00
2.745704401832639974e+00,6.484565482267190539e-01,5.161889665818989448e-01,1.873028535882879930e-01,6.820263236999659640e-01,1.634066076440960080e-01,2.743801878320769827e+00,-9.047659060183239621e-01,1.825507788185430025e+00,-1.152368231403224419e+00,6.463696630841955781e-02,-1.279056685367726764e+00,-1.025679777438722073e+00
1.664078427504560032e-01,-7.356232340169830408e-01,4.301574721515830091e-02,7.680154409929239590e-01,7.750299132954160397e-01,5.025161872508969729e-01,5.535218539779429570e-01,7.736551995922119618e-01,4.958840538307099921e-01,-1.297539592687880772e+00,4.521901745034003633e-02,-1.386168866890547191e+00,-1.208910318485214352e+00
2.406386998174320002e+00,5.719705456033380431e-01,3.656338513288449832e+00,-1.855945139131730093e+00,3.377498780045289806e+00,-4.887062808058719732e-01,2.916405467195609891e+00,-1.280497560815339886e-01,1.993038913058110095e+00,-1.546536386802841667e+00,1.550823743007289923e-01,-1.850497840432270502e+00,-1.242574933173412832e+00
6.523273528072740524e-01,-2.639449486560940250e-01,1.247456669239590088e+00,-4.928375609508209992e-02,8.457343966135939528e-01,-1.906534738089520065e-02,3.571108735341549933e-01,1.100241596079040013e-01,1.589039932265120081e+00,-1.217379564690516114e+00,2.849158144874887333e-02,-1.273223064330063936e+00,-1.161536065050968292e+00
3.114310472842800048e-01,1.291024071588739996e+00,3.097133799491389894e+00,-1.232216804511929942e+00,2.822740526318039844e+00,-5.033910581104169557e-01,4.523404398099299950e-01,-1.925507819536790066e+00,9.238443570833080321e-01,-1.271271798790182039e+00,1.452279577886013417e-01,-1.555918596055840597e+00,-9.866250015245234817e-01
1.559137363361329909e+00,4.239185428995230209e-01,1.720629888606330093e-01,-1.017138068436139964e+00,1.143237107190850033e+00,5.626212138501009846e-02,3.213997861807399992e-01,-2.649422576029609733e-01,1.109480864882500084e+00,-1.420637391011765338e+00,1.293841019106181656e-01,-1.674230230756577065e+00,-1.167044551266953611e+00
2.247265084622419862e-01,-6.140846469393109741e-01,5.592047137970570514e-01,5.959524521322909774e-01,4.117176451681610061e-01,-1.931071524717959953e-01,6.130403329003030199e-01,2.022778019375610081e-01,7.423907123576539702e-01,-1.320384683379733914e+00,2.389412713245424313e-02,-1.367217172559344274e+00,-1.273552194200123555e+00
1.309087603628100061e+00,3.371580973408659920e-01,8.603149443031639365e-02,-6.299963434997180034e-01,2.219033014908979862e+00,7.856744344103550048e-03,1.190369578447380075e-02,-3.839792154476789898e-01,2.324721859416880143e+00,-1.415866852710557344e+00,1.242805917329704579e-01,-1.659456812507179357e+00,-1.172276892913935331e+00
9.507556928050719947e-02,-6.555151152571629947e-01,4.731732193667410047e-01,2.518264744110260134e-01,3.230651006999840091e-01,-4.756531454240540135e-01,3.690145693186269726e-01,8.480532982451609580e-01,9.719204372404970371e-01,-1.335622055116324036e+00,3.912634276168573677e-02,-1.412309686929227981e+00,-1.258934423303420092e+00
5.018520062244340441e-01,-5.620071541437460239e-01,3.871417249364240143e-01,6.819839465626079678e-01,2.606819911877139795e+00,5.824666414645289780e-01,1.279647296830729974e+00,6.308108501785489874e-01,1.516443059072489996e+00,-1.054829668618924465e+00,5.648177271889395779e-02,-1.165533943147956553e+00,-9.441253940898922670e-01
3.735348416168930097e+00,1.176558244699640099e+00,1.591582646960850056e+00,-2.415149852928780039e+00,4.168301231927070027e+00,2.281284039122750129e-01,3.136623839208339870e+00,-4.881365535618080176e-01,2.053667186133929956e+00,-1.438598681340081953e+00,2.486913920024602653e-01,-1.926033809664904117e+00,-9.511635530152597884e-01
5.052245637265599942e-01,-3.629809094642589828e-01,1.591582646960850056e+00,7.976348555039260158e-02,1.579429381199920046e+00,1.396384020584940044e+00,9.225364232965700406e-01,6.248590022863129700e-01,3.054700800472180067e+00,-1.292567715628485159e+00,5.155914420485751409e-02,-1.393623638270005793e+00,-1.191511792986964524e+00
5.203322205031359893e-01,-4.720150145878599934e-01,1.849677130251800028e+00,-1.339756172549829927e+00,1.529936242877200092e+00,1.559276272537210017e+00,1.112995555848119933e+00,4.760628049804149775e-01,7.306761979204080548e-01,-1.344042872992948778e+00,1.219235116123003476e-01,-1.583012955753057449e+00,-1.105072790232840108e+00
4.083373447913089649e+00,1.414196078493680009e+00,9.463464387334810102e-01,-3.719018602087689751e-01,7.342388652272359428e-02,-3.899919444808769842e-01,4.582922877021680108e+00,-1.229141616145180027e+00,1.424818945907130097e+00,-1.065899145264924019e+00,8.211139394510989786e-02,-1.226837477397339393e+00,-9.049608131325086458e-01
1.754328314780210007e+00,1.145377417648120039e-01,1.290472416454750082e+00,-2.777588248750300151e-02,1.728996557449909988e+00,2.528749730736369883e-01,1.583191539334759979e+00,4.135684021119380160e-01,1.905599129330469932e+00,-1.190384486063335912e+00,6.353031392816366196e-02,-1.314903901362536764e+00,-1.065865070764135059e+00
2.456042535240710034e-01,-3.346510310983280001e-01,5.592047137970570514e-01,-1.353152505253990001e-01,3.214334587772569862e-01,6.335914217099819501e-01,1.178465882662719899e+00,5.087979683877119630e-01,1.483122512222730061e+00,-1.322241039876597579e+00,4.769501969567582766e-02,-1.415723278480122138e+00,-1.228758801273073020e+00
3.385291280345149867e-02,-3.752447964620839738e-01,3.011102305061080231e-01,3.674773833523439781e-02,3.442764456954369723e-01,1.408355610463699892e-01,9.939585980034040258e-01,2.082296498297979970e-01,1.778922634157120042e+00,-1.270702805770706156e+00,3.541459553927063519e-02,-1.340115413027676672e+00,-1.201290198513735641e+00
4.049798352330459816e-01,-5.438925844032319601e-01,1.548566899745690062e+00,-9.741223212209829674e-01,2.496956022413510112e+00,9.305502516463309837e-01,6.427995723614809975e-01,1.062319822365650035e+00,1.467643267048859945e+00,-9.197679516503816100e-01,4.925411756903685240e-02,-1.016306022085693872e+00,-8.232298812150693479e-01
5.220806127183930112e-01,-1.311309465046129885e-01,3.871417249364240143e-01,-6.268008879923859730e-03,1.539182213772649910e-01,2.360146732054559937e-01,2.975923946117969843e-01,-4.375458464778029799e-01,5.935869155089550375e-01,-1.030053412422828218e+00,5.485563356967582821e-02,-1.137570454219392957e+00,-9.225363706262635910e-01
3.064572764046190056e-01,-5.498242616951070083e-01,4.301574721515820099e-01,2.733343480186050112e-01,4.579474996454320213e-01,-8.661594455967619455e-01,2.202183720127300071e-01,5.534368275794819825e-01,2.193725161552899927e-01,-1.311508178945349545e+00,5.093768880005670324e-02,-1.411346048993460611e+00,-1.211670308897238479e+00
2.505941364293700069e+00,7.683380669961890064e-01,3.441259777212660187e-01,1.012713591579720018e-01,1.419528472772660088e-01,-1.066301305672539973e-01,2.291461438510840054e+00,-1.130936125923289959e+00,1.903103590447370097e+00,-1.152366050373060391e+00,6.581457282697482369e-02,-1.281362613113931070e+00,-1.023369487632189712e+00
2.268405128837799989e+00,4.322514785064119902e-01,5.161889665818989448e-01,1.047617797891450042e+00,1.316191150999929949e-01,1.235939231516770098e+00,2.118857849635999990e+00,-5.863420437837010279e-01,2.353190180556989919e+00,-1.250830299513780997e+00,8.813556305545006131e-02,-1.423576003102463128e+00,-1.078084595925098865e+00
3.369638642428050140e-02,-7.047047982212549799e-01,8.172991970880060242e-01,3.378579688413420046e-01,6.591833367817849787e-01,2.085487008395479902e-01,1.261791753154019924e+00,5.861719909867799672e-01,1.374136876193829959e+00,-1.437771530392210950e+00,4.571405116188032719e-02,-1.527371070669496289e+00,-1.348171990114925611e+00
2.753489873982470026e+00,6.445638121518060260e-01,2.193803107973069988e+00,-1.167693183689199943e+00,2.501850948181690182e+00,1.073318919884959977e+00,3.309227428083179934e+00,-6.220531311371170213e-01,2.536707292934280211e+00,-9.202783932048443916e-01,1.285289214851995931e-01,-1.172195079315835553e+00,-6.683617070938532301e-01
2.734692196573639822e-01,-6.792781915789439795e-01,8.603149443031639365e-02,8.325390618156619515e-01,1.978093890986269976e+00,-4.680326006725740035e-02,3.571108735341549933e-01,9.194754729519919456e-01,1.202239929113749994e+00,-1.171093294969164589e+00,4.538043822156769685e-02,-1.260038953883437340e+00,-1.082147636054891837e+00
1.463166248927540103e+00,4.037254234828280275e-01,8.603149443031650467e-02,2.733343480186050112e-01,1.563112961972650039e+00,1.264227240622800008e-01,2.803320357243130001e+00,-7.500178608201899522e-01,2.410937343185899806e+00,-1.027422657712425025e+00,7.265180226524152463e-02,-1.169820190152298434e+00,-8.850251252725516160e-01
3.818939731843919994e+00,1.134762586862150036e+00,3.914432996579400026e+00,-1.253724678119509939e+00,2.238068837340799977e+00,-7.369877933808599568e-01,2.725946334644059998e+00,-6.934753058439480089e-01,1.699707434185639965e+00,-1.481403142954893282e+00,8.733059194359991950e-02,-1.652571103164349076e+00,-1.310235182745437488e+00
1.529252486896409913e+00,4.264021252417750096e-01,8.172991970880060242e-01,-1.353152505253990001e-01,1.219380396918120057e+00,1.031983991175869919e+00,3.333034819652119785e-01,-5.625346522147569583e-01,2.768246737774170185e+00,-1.050768541066127826e+00,8.212692184009832974e-02,-1.211737307872720493e+00,-8.897997742595351589e-01
5.589756746474700000e-01,-4.506512691500039747e-01,4.301574721515820099e-01,7.465075673853449612e-01,2.267982272590799986e-01,-8.813818877634629900e-02,1.035621533249049930e+00,-3.125570407408480023e-01,4.422659547051089879e-01,-1.233148339992099496e+00,5.704369863545419306e-02,-1.344953989317589693e+00,-1.121342690666609299e+00
2.673061573840449956e+00,6.847779622228159502e-01,5.161889665818989448e-01,1.873028535882879930e-01,1.686029986818100013e-01,-2.619080535467919746e-01,1.981965348114570036e+00,-1.285684171121429964e+00,1.966768423782579989e+00,-1.220417884076854698e+00,9.752978543370688369e-02,-1.411576263526920227e+00,-1.029259504626789168e+00
1.648429835445059943e+00,8.362759664164509665e-01,1.419519658100220072e+00,7.976348555039260158e-02,1.255820399859030045e+00,2.458045247418189916e-01,2.309316982187549883e+00,-9.017899820722059534e-01,2.477728399624929967e+00,-9.235943329362078513e-01,6.267137135809697224e-02,-1.046430220798078015e+00,-8.007584450743377991e-01
1.457048148228720086e-01,-6.640045903507529879e-01,2.150787360757910049e-01,6.389681993474499722e-01,2.844495751954400076e-01,-2.692504421990650210e-01,8.332587049130310008e-01,5.326053599566550334e-01,6.424350206428049992e-01,-1.290683350355224190e+00,2.552891114222935118e-02,-1.340720016193993613e+00,-1.240646684516454767e+00
3.472743123148659961e-01,-5.292872949385729608e-01,1.548566899745700054e+00,-1.568231241329779979e-01,1.416809069568109924e+00,-8.052385980361949358e-02,1.172514034770480107e+00,4.820146528726499957e-01,7.044050384378549579e-01,-1.395888993258638244e+00,6.394943270574340866e-02,-1.521229881361895409e+00,-1.270548105155381080e+00
1.824842488626249981e+00,2.228873036334700075e-01,2.150787360757910049e-01,4.238894632716579958e-01,1.571815052227190090e+00,1.220716789350070053e-01,2.916405467195609891e+00,-6.934753058439480089e-01,1.879626678823050012e+00,-1.277379751079455561e+00,6.515067019515879965e-02,-1.405075064661966744e+00,-1.149684437496944378e+00
1.420477988265179903e+00,3.600178307773049813e-01,6.452362082273730426e-01,-6.268008879923850189e-03,9.229654476226809567e-01,1.200315049537229894e+00,8.034994654518530233e-01,-6.071735114065269778e-01,2.769816413133039834e+00,-1.240740750186710484e+00,8.007949476831584257e-02,-1.397696559932609439e+00,-1.083784940440811528e+00
6.459158032217670042e-01,-4.034899995595490063e-01,4.301574721515820099e-01,6.604760729550289700e-01,1.912828214077179956e+00,5.574481319827130354e-01,3.987738087798090025e-01,7.081848727776169916e-01,2.707642117036439977e+00,-1.377647497424759448e+00,5.489742321954343973e-02,-1.485246446935064579e+00,-1.270048547914454318e+00
9.968424938391799994e-01,2.779508784068400185e-01,1.290472416454750082e+00,1.523986472765529940e-02,4.367361546499780034e-01,-1.117704242017200089e+00,1.351069471537559963e+00,-3.393403562559090259e-01,1.104646053737849964e+00,-1.399369405136616340e+00,8.757113832449675561e-02,-1.571008836252629992e+00,-1.227729974020602688e+00
2.520471912749360222e-01,-2.018341053434730137e-01,9.033306915183230146e-01,6.819839465626079678e-01,1.665362522463549988e+00,1.775475043077310022e-01,6.547032681459530323e-01,3.242906837283979771e-01,2.210355411363519984e+00,-1.329523160448141894e+00,6.070466889564091195e-02,-1.448504311483598039e+00,-1.210542009412685749e+00
3.000436389768209811e+00,1.252390091691969909e+00,1.548566899745690062e+00,-9.311065740058249718e-01,2.095572109422620066e+00,-9.738415967180050203e-02,2.071243066498110075e+00,-1.258900855606359892e+00,2.172913024535100046e+00,-1.441106209932798699e+00,9.590032238466754400e-02,-1.629070841806746994e+00,-1.253141578058850403e+00
6.778119190750819811e-01,-2.766872317899979894e-01,1.548566899745700054e+00,1.012713591579720018e-01,1.048601875672680039e+00,8.236839214864530301e-02,1.249888057369529931e-01,2.260851935065049945e-01,9.805555760786399677e-01,-1.168662124135660729e+00,4.117903230392656877e-02,-1.249373027451356810e+00,-1.087951220819964648e+00
3.440544446802749956e+00,1.508423319065079982e+00,9.463464387334790118e-01,-8.880908267906669762e-01,2.085782257886259927e+00,-2.485829778445199922e-01,2.505727962631330019e+00,-1.333298954259310110e+00,2.147113530404530124e+00,-1.325286249516117731e+00,1.019299363876585429e-01,-1.525068924835928375e+00,-1.125503574196307088e+00
1.817215324231349904e-01,-2.999608130185659749e-01,6.882519554425320374e-01,-1.568231241329779979e-01,4.057349581181620146e-01,1.166328725259160037e-01,8.630179443742109768e-01,5.866821493774599695e-03,1.694948747004789924e+00,-1.236589362924948032e+00,3.657750001183310978e-02,-1.308281262948140844e+00,-1.164897462901755221e+00
1.302783050186449909e+00,3.403103740616950090e-01,1.161425174809270100e+00,-9.229950331024029675e-02,7.685033456045069489e-01,1.501624924600849953e+00,3.690145693186269726e-01,-1.935200828961289865e-01,3.069685390403099845e+00,-1.442412186491017545e+00,1.238822897492623809e-01,-1.685221474399571928e+00,-1.199602898582463162e+00
7.139715524449510298e-01,-2.947670484749320141e-01,1.118409427594110106e+00,-1.138073769178190031e-01,9.572299279999520183e-02,-3.940710492876949855e-01,5.832810934391230440e-01,-3.060950344579650186e-03,1.275241151770420078e+00,-1.230925303043550967e+00,4.717020035482748924e-02,-1.323378895739012906e+00,-1.138471710348089028e+00
