"site1","site2","taxSorensen","functionalDistance","distance","precip_PET_ratio","Temp_Isothermallity","Temp_ColdestPeriod_min","Rad_Jan_total","geogDistance100km"
"site_158","site_17",0.794292523364486,0.0735735,1.2475099614568,-0.50009188953574,0.251826474411026,0.628968436262255,0.737944112238796,2.02354366332856
"site_122","site_83",0.67731935483871,0.0752822,1.85138965484407,-0.419282361250607,0.832539061815662,0.585729925309984,-0.205423778680601,0.425984492815815
"site_116","site_41",0.794017647058824,0.0898881,2.42320200672494,0.0671298015658376,-0.285870365778452,-1.27570156820129,-0.175664539219422,1.1600575013367
"site_51","site_99",0.745483038869258,0.162707,3.87654408923616,2.29500581200239,-1.40427979337257,-1.00784035255357,-2.22905206204082,1.24321902388051
"site_117","site_174",0.952280952380952,0.0484625,6.68013175864384,1.14892497538218,-2.47967347375152,0.161503025400914,-0.336364432309792,2.24017606214038
"site_143","site_165",0.574368085106383,0.124598,1.65654292026296,-0.292825352023612,-0.113807376917819,0.33527289017136,0.785558895376683,0.694736729440005
"site_92","site_96",0.705326356589147,0.0808056,2.50746054515637,-0.530842858533859,0.63896819934745,-0.000301465269532231,0.309411063997809,0.333821954685664
"site_51","site_71",0.81029755351682,0.0497138,3.85756548293096,0.229788697222157,-0.651504217107296,-0.830535263617219,-0.238158942087898,1.10515833436032
"site_166","site_32",0.936608860759494,0.0926538,1.41477175493386,-0.280018456256446,-0.00626800887992385,0.806001584878155,0.5564127515256,2.51533737086353
"site_88","site_92",0.807592307692308,0.0893768,1.12504029485695,-0.561521762331615,0.466905210486817,-0.747049585237677,0.476062804980415,0.090385378908751
"site_124","site_89",0.929311764705882,0.0537501,3.06828782394562,-0.0782401221052478,0.466905210486817,-0.721487195114951,0.166566714584146,1.13216017491788
"site_28","site_41",0.672627272727273,0.213293,0.765599773317605,-0.309474960537573,0.122779232765551,-0.394071049287695,-0.0596035053208204,0.16498835276791
"site_53","site_67",0.645061290322581,0.167219,0.816108370081229,-0.605367711258782,0.466905210486817,-0.221388945799067,0.443327641573117,0.287830050802709
"site_131","site_59",0.831832773109244,0.104262,3.72851515226316,0.439613350861731,-0.221346744955715,-0.255109545535429,-0.288749649171904,1.88517625306998
