"site1","site2","taxSorensen","functionalDistance","distance","precip_PET_ratio","Temp_Isothermallity","Temp_ColdestPeriod_min","Rad_Jan_total","geogDistance100km"
"site_136","site_166",0.843273493975904,0.124516,1.95529409037325,-0.0817494804021149,-0.113807376917819,0.226224821669093,0.648666393855257,1.72674990878439
"site_100","site_43",0.72182513368984,0.108619,2.26639629136861,-0.155481897422853,-0.522456975461823,-0.531944791758142,-0.431593998585567,0.893043178819088
"site_7","site_90",0.984748484848485,0.044488,4.24881091975877,0.336433733409548,0.854046935423241,0.0217257006872846,-0.33934035625591,1.8631593897975
"site_173","site_72",0.891791891891892,0.0879308,4.81499843897146,-0.734734651458843,-0.694519964322454,0.500340664687261,0.96709025608988,2.21771461156311
"site_66","site_95",0.908990909090909,0.0942538,2.22815782957439,-0.587741840797156,0.230318600803446,-0.978470797944484,0.30643514005169,0.651078278988535
"site_132","site_72",0.911404424778761,0.0811986,2.21128470822637,-0.40097274709337,0.14428710637313,-0.95725945294903,0.237988889290977,1.29232010959681
"site_147","site_166",0.839316058394161,0.105531,1.53738677636789,-0.0885219633049992,-0.328886112993611,0.394827820350903,0.693305253047027,1.16260499496752
"site_116","site_19",0.862495419847328,0.201391,2.4057524145265,0.393683177946194,-0.58698059628456,-0.944750198208122,-0.491112477507926,1.55507113908974
"site_160","site_76",0.925825925925926,0.0658532,2.88599106447885,0.569329553684055,-0.307378239386031,-0.313848654753608,-0.562534652214757,2.00059303076553
"site_133","site_48",0.6559,0.0491057,0.896597204667388,-0.723158900427539,0.445397336879238,-0.155851328569525,1.05636797447342,1.31313691726355
"site_22","site_72",0.74458085106383,0.0595977,2.08771125277254,-0.515848626208385,0.423889463271658,-0.535480015924051,0.437375793680881,0.741662111781453
"site_113","site_27",0.658814728682171,0.0599887,1.87819111534446,-0.614501016994729,0.574444578524712,-0.17597491228316,0.46713503314206,1.33528389578487
"site_65","site_94",0.920952631578947,0.143145,3.80794617779419,0.586239548900509,0.423889463271658,0.101948095221371,-0.601221663514291,2.04231423719107
"site_100","site_165",0.675113675213675,0.101605,3.05815917789642,-0.148616256807039,-0.737535711537614,-0.121314907871799,0.232037041398741,1.83343818799609
"site_113","site_22",0.682658620689655,0.0559186,1.70528885774556,-0.397135804156482,0.337857968841342,-0.396518512171786,0.374881390812404,1.37665825464894
"site_32","site_87",0.818081818181818,0.0419923,3.07799350060497,-0.418853966596763,-0.371901860208769,-0.76282212382404,0.502846120495476,0.914862787095633
"site_103","site_138",0.786785245901639,0.141277,2.15578915416844,-0.678770115625595,0.595952452132291,0.538412309550895,0.687353405154791,1.04917335254385
"site_32","site_37",0.973054362416107,0.0601882,2.7523917281503,0.0259882363184138,-0.0922995033102403,-0.197458197599068,-0.273870029441314,0.570963305631508
"site_113","site_75",0.608291608391608,0.105785,0.516883347470562,-0.601457716935934,0.595952452132291,-0.8414128764354,0.720088568562088,0.900091838045016
"site_81","site_92",0.716714159292035,0.0800827,1.65622658600679,-0.591683032914091,0.574444578524712,-0.529225388553597,0.196325954045325,0.153257170206517
"site_154","site_5",0.656341717791411,0.0684669,1.71867684922821,-0.403180463988444,0.423889463271658,0.980587270609964,0.648666393855257,2.42005865195565
"site_126","site_155",0.714185714285714,0.0799113,1.44086543632254,-0.425537786421198,0.0582556119428135,-0.385097018712695,0.70223302488538,0.497691688925138
"site_67","site_71",0.4999,0.0476517,0.645641898879655,-0.671752603676291,0.552936704917133,-0.294540892001336,0.532605359956656,0.501599920629611
"site_138","site_173",0.9039,0.0609785,3.2903431815403,-0.726867058136412,-1.1676931836892,1.10160071321223,1.12481422523413,1.34718399222897
"site_107","site_83",0.838283838383838,0.054318,2.56753848650777,-0.443935829593847,0.897062682638399,-0.0949366967877096,0.377857314758522,1.15899041711851
