"site1","site2","taxSorensen","functionalDistance","distance","precip_PET_ratio","Temp_Isothermallity","Temp_ColdestPeriod_min","Rad_Jan_total","geogDistance100km"
"site_121","site_30",0.668964748201439,0.0522262,1.73577617268793,-0.47887991806115,0.466905210486817,-0.394614929928604,0.14573524696132,1.37190642619408
"site_121","site_123",0.671775,0.194942,1.06443911208217,-0.231425842509076,0.230318600803446,-0.826456158810401,-0.131025680027651,1.13266210787982
"site_129","site_69",0.773813043478261,0.0802378,3.68495173552268,0.681652770652472,-0.737535711537613,-1.0932296131763,-0.473256933831219,1.47084682206535
"site_31","site_67",0.531328571428571,0.0833126,0.658550329195026,-0.582115052769058,0.423889463271658,-0.339411044876334,0.41059247816582,0.35443394570715
"site_127","site_95",0.830669230769231,0.167825,2.20169607140621,-0.546226394489311,0.724999693777766,-0.435949858637693,0.0891926919850792,0.791334029379671
"site_175","site_22",0.889555172413793,0.177021,3.31066258832203,-0.506127920243734,-1.03864594204372,1.24708878465541,0.800438515107274,3.19801077333534
"site_124","site_25",0.928471428571429,0.0999483,4.10533728935145,0.619128169427927,-2.30761048489089,-1.81142399949672,-0.815488187634785,1.45710544877462
"site_1","site_114",0.949052542372881,0.113565,3.8815716601267,0.249526584005093,0.294842221626184,0.0665958535622824,-0.354219975986499,2.11077809619579
"site_139","site_96",0.781718181818182,0.039636,0.599184964468466,-0.64034164245123,1.04761779789145,0.850599797432698,0.169542638530264,0.574959145094173
"site_162","site_2",0.984748484848485,0.0458711,2.83717358945099,0.389829204582728,-0.307378239386031,0.76792994001452,-1.12796020197717,2.66679440404743
"site_108","site_32",0.746887951807229,0.0510569,1.47644444571761,-0.739440729748414,0.617460325739871,-0.171623867155888,0.708184872777616,1.1469105422176
"site_165","site_56",0.710044927536232,0.130082,1.56474440927188,-0.430861456574584,0.0152398647276553,0.552553206214531,0.458207261303707,2.22017084714663
"site_144","site_162",0.906876744186047,0.0991243,1.93748127566513,0.441527827342258,-1.0601538156513,0.169933175335004,-0.381003291501562,1.17127294996079
"site_152","site_51",0.879145283018868,0.0668968,3.42578614548258,0.360339644359083,-1.12467743647404,-0.717951970949043,-0.0774590489975279,1.61988679196225
"site_137","site_142",0.947726086956522,0.314841,1.13322203759297,1.19725779663508,-0.82356720596793,-0.0465313197468029,-0.577414271945347,0.276873399060629
"site_147","site_48",0.935035135135135,0.172302,1.22065024384545,-0.58011491108946,0.294842221626184,-0.101463264478618,0.895668081383049,1.50472159474194
"site_110","site_75",0.954445454545455,0.0854272,3.98487788606416,0.153151067939181,-0.995630194828562,-1.55389651602627,0.223109269560388,1.04775583808708
"site_146","site_57",0.707765168539326,0.10587,0.785793249270818,-0.448390732653729,0.230318600803446,-0.033206244044531,0.484990576818769,1.63752478938346
"site_116","site_64",0.875868992248062,0.121306,3.40363723891833,-0.0151998044856546,-0.113807376917819,-0.755207794851313,-0.220303398411191,1.33850954167216
"site_45","site_89",0.768495041322314,0.101694,0.578800768804596,-0.813768084451817,1.00460205067629,0.156336159312278,1.05934389841954,0.96449616976284
"site_130","site_155",0.555455555555556,0.0645788,1.09056655485464,-0.0507290561631941,-0.0492837560950821,-0.239880887589975,0.226085193506505,0.711849718880596
"site_110","site_19",0.967379674796748,0.263953,3.6086519955355,0.56963219781518,-1.33975617254983,-1.15577588688084,-0.401834759124387,1.5143651026724
"site_103","site_34",0.62952962962963,0.132328,2.2707490621487,-0.37042656515183,0.531428831309554,0.408696776694084,-0.0893627447819995,1.40891817718062
"site_78","site_82",0.806796551724138,0.0697707,0.679424048428517,-0.717376470466466,0.746507567385345,-0.415010453962694,0.684377481208672,0.124646114839526
"site_105","site_13",0.701763354037267,0.0889565,2.04152292221197,-0.718263098130121,0.832539061815662,0.23927795705091,0.940306940574819,1.41524807347109
"site_12","site_36",0.823429411764706,0.166248,4.26687604690398,1.9603467627408,-0.716027837930034,-0.482723593755872,-2.05644847316598,0.682218908564301
"site_138","site_34",0.584805660377358,0.237008,1.69629377149101,-0.413209440959631,-0.135315250525399,-0.250758500408156,0.440351717627,1.52219431601463
"site_131","site_95",0.875868992248062,0.0502239,3.91657786062914,0.353424265659971,-0.0922995033102403,-0.941758854683122,-0.0268683419135218,1.27751525634585
"site_51","site_76",0.76046338028169,0.179952,1.79625535253601,1.24231841662948,-1.08166168925888,-1.54220308224673,-0.991067700455745,0.673644808827384
"site_4","site_58",0.763944943820225,0.0689602,0.969979593314743,-0.3792111837485,0.961586303461136,0.771737104500884,0.235012965344859,1.11323011027989
"site_1","site_130",0.838409316770186,0.0862753,2.51456324277137,0.654809776793401,0.187302853588288,0.264296466532727,-0.88095851444938,2.20001993576964
"site_73","site_88",0.622541509433962,0.0741238,0.91597458281251,-0.68910036293392,0.660476072955029,-0.372587763971787,0.107048235661786,0.250056857973143
"site_119","site_150",0.792107792207792,0.150364,1.2266364808806,-0.610039786742829,0.3808737160565,-0.0693743066649836,1.15159754074919,0.807546890899122
"site_133","site_98",0.969937453183521,0.0752576,5.97329342444967,1.43315927654399,-0.909598700398246,-0.935232286992213,-0.77977710028137,1.17123653655378
"site_156","site_31",0.537588442211055,0.140688,1.18774061287972,-0.241607638300927,-0.113807376917819,-0.235257902142248,0.235012965344859,1.74226853269475
"site_55","site_66",0.66877417218543,0.0498343,1.42504482206696,-0.406047687507679,-0.135315250525399,-0.559138823803596,-0.351244052040382,0.28105743599548
"site_57","site_67",0.70863786407767,0.0698745,0.794034983267424,-0.58903148818476,0.402381589664079,-0.288286264630882,0.362977695027932,0.281235375964998
"site_168","site_25",0.945255191256831,0.0437785,6.0035912727187,0.239667511832109,-2.52268922096668,0.0810086905463725,-0.00603687429069699,3.03236019751285
"site_173","site_38",0.829081494661922,0.139582,3.52129179284437,-0.761256111363444,-0.80205933236035,1.34444341937813,1.03553650685059,2.57881230632878
"site_109","site_81",0.891204347826087,0.124851,3.77295287213986,0.617269153403828,0.509920957701975,-0.0704620679468017,-1.16367128933059,1.96168430312154
"site_131","site_152",0.920534920634921,0.140294,3.12511480115842,0.575748487802341,-0.759043585145193,-0.400869557299058,-0.136977527919887,1.0106480574045
"site_114","site_46",0.697574418604651,0.15723,1.40610219805068,-0.660798583367467,0.574444578524712,-0.27795253245361,0.589147914932898,1.11190715294171
"site_154","site_29",0.786785245901639,0.0515365,0.904981475447552,-0.645827778567416,0.14428710637313,0.587633507553166,0.83614960246069,1.88573415822756
"site_71","site_95",0.725390196078431,0.111775,1.10031923331153,-0.766324702115682,0.854046935423241,-0.426975828062693,0.731992264346561,0.576490085568802
"site_130","site_43",0.780921897810219,0.143049,0.998557713559139,-0.141589822374762,0.294842221626184,-0.0370134085308943,-0.205423778680601,1.73068325083447
"site_47","site_7",0.903348275862069,0.0443899,4.69342910946412,1.4678099317288,-0.974122321220983,-0.417729857167239,-1.73802461093136,0.874797013682805
"site_43","site_84",0.690956910569106,0.0636542,2.1828091098695,-0.624919087875412,0.595952452132291,-0.300523579051336,0.339170303458988,0.794710322995914
"site_120","site_96",0.739737398373984,0.0535435,2.06165301965845,-0.717335006355488,0.918570556245978,0.257226018200909,0.693305253047027,0.859001434069797
"site_35","site_36",0.987851807228916,0.129635,5.62928075663408,1.35671875330496,-0.866582953183087,-0.0416363939786213,-1.42852852053509,1.40124590489043
"site_109","site_158",0.914793617021277,0.0422281,3.93760548449074,0.781834275910911,-0.178330997740557,0.0690433164463732,-0.770849328443016,1.400170730199
"site_135","site_163",0.920692079207921,0.0575379,2.87369675969141,0.251748053820058,-0.0492837560950821,0.841353826537244,0.133831551176847,2.0349386064646
"site_148","site_91",0.930934482758621,0.0792419,2.83208301236102,0.125374286771574,0.294842221626184,0.97134129971451,0.166566714584146,2.70806794967322
"site_136","site_83",0.768192682926829,0.109621,2.05669061252047,-0.497629495827942,0.681983946562608,0.245532584421364,0.535581283902774,0.919133302639526
"site_148","site_16",0.767341860465116,0.0686976,1.72639081707427,0.375578850804184,-0.135315250525399,0.853863081278152,-0.29470149706414,2.67868514098271
"site_36","site_64",0.9999,0.177846,5.81135207275601,1.28535025062188,-0.716027837930034,-0.123218490114981,-1.44935998815791,1.57841677671062
"site_138","site_19",0.950313223140496,0.221626,2.01801482183107,-0.295821815789406,-0.135315250525399,0.0190062974827394,0.315362911890044,1.79242971660593
"site_123","site_39",0.850646268656716,0.198879,1.56485093989739,-0.454376295625918,0.316350095233763,-0.424256424858148,0.360001771081814,1.54855540001354
