"","site1","site2","sor","distance","bio_4","bio_6","bio_7","bio_15"
"4684",7791,8308,0.902834008097166,1.54765572723212,-0.721862454454918,-0.682378788112793,-0.774451186511414,-0.498407231766094
"4685",7791,8384,0.96319018404908,0.0574360198780018,-0.236428111761898,-0.329686991017759,-0.29385408478079,-0.451334272570004
"4686",7791,8398,0.75609756097561,2.17131965871267,0.410817678495462,0.0811099230327141,0.443080270359644,-0.206953742452546
"4687",7791,8400,0.741935483870968,1.11021659408355,0.0871947833667822,-0.0668250895879919,0.0770184351490003,-0.451334272570004
"4688",7791,8456,0.895316804407714,3.07636073985744,0.572629126059803,0.482836859701781,0.608513737391269,0.0374267876649117
"4689",7791,8475,0.805882352941176,1.50365639797371,0.219243033432234,-0.024804627577404,0.212770367422923,-0.329144007511275
"4690",7791,8672,0.909270216962525,3.20922821832854,0.593271858625046,0.30551759194769,0.766903147027549,0.159617052723641
"4691",7791,8735,0.921146953405018,3.31908853251963,0.548192441226745,0.621538485987207,0.488243489695386,0.331832091159743
"4692",7791,8784,0.909090909090909,2.83010704315318,0.572629126059803,0.191972941672477,0.628909856682741,0.0374267876649115
"4693",7791,8794,0.748091603053435,0.324996369496478,-0.236428111761897,-0.188081842400981,-0.284097757989803,-0.451334272570003
"4694",7791,9073,0.782383419689119,2.08624022819928,0.340095249909632,0.105177414574209,0.399849407543662,-0.143951940448821
"4695",7791,9083,0.736470588235294,0.281554514589002,-0.236428111761896,-0.214710503089629,-0.311839669831991,-0.451334272570004
"4696",7791,9325,0.983193277310924,3.51786519799074,0.524263022098072,0.662661578363314,0.490188918345826,0.500242580355305
"4697",7791,9438,0.970149253731343,2.68642396942267,0.388821625196924,0.424720014195599,0.440367458526487,0.0987976649190569
"4698",7791,9463,0.867684478371501,2.05898761664625,0.249006230931121,0.148790788722371,0.390109759700274,-0.0847634773938173
"4699",7791,9847,0.868686868686869,2.75246777257745,0.410817678495462,0.353958235181864,0.504594892729056,0.159617052723641
"4700",7810,7874,0.845036319612591,1.20843442052447,0.118232556503064,0.0425059986279065,0.133351080823567,-0.490545061915612
"4701",7810,7890,0.843621399176955,0.774940334504917,0.0498354227942478,-0.156173382374249,0.0324699289028358,-0.573524537628732
"4702",7810,7892,0.93984962406015,0.489507859261074,-0.326296892116466,-0.379054450379837,-0.332165187879853,-0.565474743430633
"4703",7810,7981,0.825095057034221,1.70914374457371,0.280044004067404,0.0601789293998857,0.358743511577685,-0.451334272570004
"4704",7810,7994,0.791666666666667,0.659219395690026,-0.367201786189957,-0.421014138848985,-0.423072572031212,-0.573524537628732
"4705",7810,7999,0.886075949367089,1.0762255849009,0.128035457983444,-0.089543683870674,0.151908201833161,-0.573524537628732
"4706",7810,8002,0.858267716535433,2.52827204822449,0.603666899196085,0.131093055589354,0.603612929176975,-0.340049979489727
"4707",7810,8195,0.859872611464968,1.22895835040443,-0.529013233754297,-0.520599856556058,-0.627674172870955,-0.503428335421047
"4708",7810,8274,0.796610169491525,0.561273156446216,-0.127858483255992,-0.168288184288295,-0.166521952894001,-0.451334272570004
"4709",7810,8298,0.717842323651452,0.570643477434506,-0.0435788910612757,-0.159462467655662,-0.0448983143196746,-0.573524537628733
"4710",7810,8308,0.785714285714286,1.64858865429101,-0.690824681318636,-0.647829488617209,-0.752955868647366,-0.620597496824823
"4711",7810,8384,0.880952380952381,0.266943650109916,-0.205390338625616,-0.295137691522176,-0.272358766916741,-0.573524537628732
"4712",7810,8398,0.817307692307692,2.1495340973487,0.441855451631745,0.115659222528297,0.464575588223692,-0.329144007511275
"4713",7810,8400,0.748917748917749,1.04103549009441,0.118232556503064,-0.0322757900924085,0.0985137530130486,-0.573524537628732
"4714",7810,8456,0.873239436619718,3.07068216873888,0.603666899196085,0.517386159197365,0.630009055255317,-0.0847634773938171
"4715",7810,8475,0.808429118773946,1.47100439132676,0.250280806568516,0.00974467191817932,0.234265685286971,-0.451334272570004
"4716",7810,8672,0.91588785046729,3.22495432442726,0.624309631761328,0.340066891443273,0.788398464891597,0.0374267876649117
"4717",7810,8735,0.89,3.35524116429539,0.579230214363027,0.656087785482791,0.509738807559434,0.209641826101014
"4718",7810,8784,0.895196506550218,2.83751391957338,0.603666899196085,0.226522241168061,0.650405174546789,-0.0847634773938173
"4719",7810,8794,0.802247191011236,0.364370777997614,-0.205390338625615,-0.153532542905397,-0.262602440125755,-0.573524537628732
"4720",7810,9073,0.863192182410423,2.08283322017524,0.371133023045914,0.139726714069792,0.42134472540771,-0.26614220550755
"4721",7810,9083,0.815028901734104,0.344306477792917,-0.205390338625614,-0.180161203594046,-0.290344351967943,-0.573524537628732
"4722",7810,9325,0.949685534591195,3.57428819592707,0.555300795234354,0.697210877858897,0.511684236209874,0.378052315296576
"4723",7810,9438,0.885245901639344,2.70787306745277,0.419859398333206,0.459269313691183,0.461862776390536,-0.0233926001396719
"4724",7810,9463,0.872611464968153,2.07251584688289,0.280044004067403,0.183340088217954,0.411605077564323,-0.206953742452546
"4725",7810,9847,0.842271293375394,2.78465181308501,0.441855451631745,0.388507534677447,0.526090210593104,0.0374267876649117
"4726",7874,7890,0.669144981412639,0.49483033268974,0.342420544786646,0.167488134339468,0.396641569253861,-0.368354796856883
"4727",7874,7892,0.841121495327103,1.54614293835608,-0.033711770124068,-0.0553929336661187,0.0320064524711721,-0.360305002658783
"4728",7874,7981,0.67741935483871,0.561549680392729,0.572629126059803,0.383840446113604,0.72291515192871,-0.246164531798154
"4729",7874,7994,0.827515400410678,1.75155964072969,-0.074616664197559,-0.0973526221352674,-0.0589009316801862,-0.368354796856882
"4730",7874,7999,0.818984547461369,0.314726393270085,0.420620579975842,0.234117832843044,0.516079842184186,-0.368354796856883
"4731",7874,8002,0.784023668639053,1.39612197687456,0.896252021188483,0.454754572303072,0.967784569528,-0.134880238717877
"4732",7874,8195,0.761061946902655,2.29376610197759,-0.236428111761899,-0.19693833984234,-0.263502532519929,-0.298258594649197
"4733",7874,8274,0.801452784503632,0.886467844319432,0.164726638736406,0.155373332425423,0.197649687457025,-0.246164531798154
"4734",7874,8298,0.664179104477612,0.650023526326117,0.249006230931122,0.164199049058056,0.319273326031351,-0.368354796856883
"4735",7874,8308,0.853131749460043,2.78107198290725,-0.398239559326238,-0.324167971903491,-0.38878422829634,-0.415427756052973
